6.55745073722431,0.999886308751669,-6.91421657520484e-05,0.0142892643283311,0.00481473937805043,-9.74177359205651e-05,-0.000182452144534421,0.00610930273830357,0.0020970197466454,-6.13808860488675e-05,0.000277997657526837,0.00122411250170065,0.000443972331788649,0.707106781186548,0,0.5,0.5,152.993733234828,158.142792023336,299.741117202073,11.395408056091,-3.58901498186427,-3.7105989503974,-6.65805958196635,-0.641554350295305
7,0.999836820434454,-9.11558420310625e-05,0.0171128778452152,0.0057856379067676,-0.000127080685759786,0.000111907509455898,0.00665124021505435,0.0022898578697853,-7.18814647995728e-05,0.000551912706662713,0.00116464523178331,0.000428387583661334,0.707106781186548,0,0.5,0.5,167.394621657609,173.08988030165,327.171545669544,13.3129562897152,-3.52941587034796,-3.72582720679429,-6.570149799357,-0.685093277785242
7.44695114804297,0.99977244102609,-3.30754985962164e-05,0.0202016406123059,0.00685264819733533,-0.000161913645455529,3.56962532499946e-05,0.00716951160958527,0.00248693407723919,-8.41319334725237e-05,-0.00079304897963618,0.00115624204152721,0.000454473023655891,0.707106781186548,0,0.5,0.5,181.657338351545,188.051120049277,354.062795118298,15.6456632825241,-3.51148601867851,-3.6992623958101,-6.48451030040764,-0.726238114080969
7.89390229608593,0.999691235501842,-8.83451211827663e-05,0.0235217249049444,0.00800963878319922,-0.000202452818405915,-0.000217449232733031,0.00768782160949725,0.00268929388083309,-9.73910930889096e-05,6.3403635525505e-05,0.00116554255502341,0.000440454100438114,0.707106781186548,0,0.5,0.5,195.91973540097,203.012682008252,380.954048640219,17.9783687690029,-3.51433485956502,-3.65294133290323,-6.39810320809673,-0.769172984371514
8,0.999669201576115,-0.000110372888242163,0.0243439502661586,0.00829742872448968,-0.000212955314925479,-0.000191585935897162,0.00781162167686929,0.00273554554112731,-9.91814625066759e-05,0.000408978780797128,0.00111221862660056,0.000425589784927009,0.707106781186548,0,0.5,0.5,199.305513213777,206.56411661929,387.337521282437,18.532108550631,-3.50520882829397,-3.65182794642508,-6.37748801451548,-0.779548760203563
8.53048851957034,0.999541542039645,-0.000125261893238224,0.0286444566097197,0.00980740291825044,-0.000269751368266014,0.000126443222830527,0.00840111839933027,0.00295675276119208,-0.000115252660911279,0.00011821814043483,0.00110387987737769,0.000426683851458716,0.707106781186548,0,0.5,0.5,215.949079433208,224.132700810958,418.320017284736,21.7617629594293,-3.43753234871954,-3.66847497048318,-6.27805581419596,-0.827951505006771
9,0.999401625055723,-0.000105607033996682,0.0327100320470297,0.0112443090769023,-0.000327482232214539,-0.000128175878991021,0.00891652679267126,0.0031671898555647,-0.000129042392753872,-0.000767104322531156,0.00104340250654244,0.000453137729605333,0.707106781186548,0,0.5,0.5,230.678576929434,239.682834656204,445.741226394051,24.6201851915871,-3.43834048303972,-3.62230754376711,-6.18949006575909,-0.871157961047738
9.47338190583058,0.999231557357353,-0.000205992942529091,0.037048496643611,0.0127930154598338,-0.000392270599850445,-0.00016887888369802,0.0094147241981379,0.00337160514001321,-0.000144615183884346,0.000691983697172012,0.00106092898405974,0.000402846852748549,0.707106781186548,0,0.5,0.5,245.42802851312,255.04938754206,472.577749816803,27.8996662383764,-3.41525393678896,-3.60108091748683,-6.10223635894065,-0.91409849533513
9.930122129446,0.999036775205373,-0.000205175462172371,0.0414590859171249,0.0143744177341169,-0.000461846426859269,0.00013109485250421,0.00989749067346019,0.00355406021493152,-0.000160338798999365,0.000119448883452565,0.00104652768515276,0.000417312891910369,0.707106781186548,0,0.5,0.5,259.659578739387,269.875114352609,498.470833660778,31.0638594312177,-3.35314612778877,-3.61965524431179,-6.01764451465383,-0.955156857446729
10,0.999004108831859,-0.000195932119681359,0.0421532532516061,0.0146237952657537,-0.000473139435169124,0.000130483095934239,0.00997047933822282,0.00358358853345145,-0.000160583975807268,-0.000142684467360362,0.000989831685701527,0.000422463359430233,0.707106781186548,0,0.5,0.5,261.836815959411,272.143424939691,502.432283150628,31.5479577484732,-3.34886710475686,-3.61720286755748,-6.00466961217416,-0.961400360140181
